,Nelson Stokes,McCloud,Turkey Run,Nardi,Big Walnut,Finley Woods,Fern Cliff,Chaney
McCloud,18.63031063,,,,,,,
Turkey Run,23.88643551,22.0094188,,,,,,
Nardi,21.97229915,22.94838684,23.25186817,,,,,
Big Walnut,18.15366333,19.76661528,22.43978902,18.79230871,,,,
Finley Woods,20.98217029,20.47654799,20.74787381,22.40927729,19.74219044,,,
Fern Cliff,18.52772864,19.41011046,22.92028141,23.15525465,19.7023762,19.73400485,,
Chaney,23.16027542,20.64725208,21.66355987,24.90563114,23.32772714,21.72622223,23.52396598,
Raccoon Lake,19.33313152,18.70305605,19.7789568,20.30832054,18.14276328,18.33340145,20.16290516,20.04387636
