,Ross,Martell,Stephen's Woods,Moyer Gould,Crows Grove,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork
Martell,17.26052529,,,,,,,,
Stephen's Woods,21.46784804,24.23437555,,,,,,,
Moyer Gould,18.29682305,22.21651357,18.30070956,,,,,,
Crows Grove,18.83310969,21.93548024,21.05844048,20.84801404,,,,,
Cates Clawson,17.59131497,21.72126786,20.7166665,18.94326339,17.78169642,,,,
Ferguson,25.17943978,25.15569506,26.12420018,23.65267264,23.8715809,24.8828489,,,
Whistler Hare,15.34775567,20.21488248,20.53686532,18.80599697,19.01754961,17.21192789,25.43791256,,
Walnut Fork,17.19785,21.25169879,19.97359428,19.55652038,21.74270114,19.30800833,24.84834931,18.62160133,
Waser,18.34018031,21.2393534,21.54761045,19.14199823,18.5534453,20.21716946,22.64370992,18.51998426,20.64183434
