,Ross,Martell,Stephen's Woods,Moyer Gould,Crows Grove,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork
Martell,3563.095,,,,,,,,
Stephen's Woods,46372.907,42855.344,,,,,,,
Moyer Gould,36234.731,32686.657,10498.832,,,,,,
Crows Grove,22364.342,25462.833,67531.755,57097.637,,,,,
Cates Clawson,51904.981,55405.559,96801.223,87298.014,38638.896,,,,
Ferguson,50873.355,48764.22,36088.314,37284.18,72266.084,87549.727,,,
Whistler Hare,25775.811,29330.969,71729.855,61821.583,15166.985,26511.192,68653.278,,
Walnut Fork,41393.648,42886.36,69104.499,62697.007,50102.461,45011.087,47181.585,37701.461,
Waser,25989.115,22648.406,21284.682,12666.294,48052.358,75531.038,32391.301,50724.163,50243.005
