,Nelson Stokes,Crows Grove,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork,McCloud,Turkey Run,Nardi,Big Walnut,Finley Woods,Fern Cliff,Chaney
Walnut Fork,18.4403765,21.74270114,19.30800833,24.84834931,18.62160133,,,,,,,,
McCloud,18.63031063,22.11868242,19.2060051,27.02015339,19.44197363,19.26384567,,,,,,,
Turkey Run,23.88643551,20.09910826,19.42183812,25.74638187,21.1723811,21.45451164,22.0094188,,,,,,
Nardi,21.97229915,23.3240436,22.90774106,21.44870685,24.2571418,21.90462133,22.94838684,23.25186817,,,,,
Big Walnut,18.15366333,21.31688037,19.88463693,23.36426623,19.86201338,18.38116719,19.76661528,22.43978902,18.79230871,,,,
Finley Woods,20.98217029,20.06105019,20.00641179,23.45350393,18.16602873,19.86208603,20.47654799,20.74787381,22.40927729,19.74219044,,,
Fern Cliff,18.52772864,21.06795807,17.5323236,23.56231868,17.85868831,20.06068988,19.41011046,22.92028141,23.15525465,19.7023762,19.73400485,,
Chaney,23.16027542,23.89827703,22.43005154,28.34499397,23.23127393,24.0007007,20.64725208,21.66355987,24.90563114,23.32772714,21.72622223,23.52396598,
Raccoon Lake,19.33313152,19.9819396,18.43831204,24.80789096,19.26551777,18.73190421,18.70305605,19.7789568,20.30832054,18.14276328,18.33340145,20.16290516,20.04387636
